organisation1_name,organisation2_name,num_of_projects
DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,PEOPLETRUST S.R.L.,1
DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,SEATOPIC,1
DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
DEVELOPMENT & INNOVATION IN TRANSPORT SYSTEMS SRL,TOPVIEW SRL,1
ECOLE NATIONALE SUPERIEURE MARITIME,FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,1
ECOLE NATIONALE SUPERIEURE MARITIME,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
ECOLE NATIONALE SUPERIEURE MARITIME,GTS SERVIZI SRL,1
ECOLE NATIONALE SUPERIEURE MARITIME,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
ECOLE NATIONALE SUPERIEURE MARITIME,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
ECOLE NATIONALE SUPERIEURE MARITIME,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
ECOLE NATIONALE SUPERIEURE MARITIME,PEOPLETRUST S.R.L.,1
ECOLE NATIONALE SUPERIEURE MARITIME,SEATOPIC,1
ECOLE NATIONALE SUPERIEURE MARITIME,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
ECOLE NATIONALE SUPERIEURE MARITIME,TOPVIEW SRL,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,GTS SERVIZI SRL,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,PEOPLETRUST S.R.L.,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,SEATOPIC,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
FONDAZIONE INSTITUTE FOR SUSTAINABLE SOCIETY AND INNOVATION,TOPVIEW SRL,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",GTS SERVIZI SRL,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",PEOPLETRUST S.R.L.,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",SEATOPIC,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
"FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",TOPVIEW SRL,1
GTS SERVIZI SRL,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES,1
GTS SERVIZI SRL,INSTITUT FUR SEEVERKEHRSWIRTSCHAFT UND LOGISTIK,1
GTS SERVIZI SRL,ITALIAN MARITIME ACADEMY TECHNOLOGIES SRL,1
GTS SERVIZI SRL,PEOPLETRUST S.R.L.,1
GTS SERVIZI SRL,SEATOPIC,1
GTS SERVIZI SRL,SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,1
GTS SERVIZI SRL,TOPVIEW SRL,1
